# linear	RBF	ST	SST	PT	recursive	tree echo state
0.375	0.375	0.25	0.428571	0.333333	0.5	1
0.444444	0.333333	0.166667	0.333333	0.333333	0.875	0.75
0.625	0.75	0.222222	0.5	0.5	0.625	0.8
0.714286	0.571429	0.428571	0.428571	0.428571	0.714286	0.857143
0.571429	0.714286	0.4	0.571429	0.571429	0.857143	1
0.428571	0.714286	0.5	0.714286	0.428571	0.833333	0.5
0.857143	0.714286	0.428571	0.285714	0.571429	1	0.666667
0.428571	0.428571	0.75	0.8	0.8	0.5	0.8
