# linear	RBF	ST	SST	PT	recursive	tree echo state
0.860631	0.852696	1.06921	3.72382	3.72382	1.44083	2.98562
0.92769	2.34074	0.962503	1.21277	1.21277	1.63439	1.36614
10.5869	1.46268	0.641052	0.711064	0.711064	0.565469	1.99577
1.17653	1.05349	1.01226	1.2923	1.2923	1.29948	0.498939
1.03588	1.09156	1.08246	1.09213	1.09213	0.879081	0.849094
1.49645	1.83732	0.836377	3.42747	3.42747	1.72902	1.74826
