# linear	RBF	ST	SST	PT	recursive	tree echo state
nan	0.607376	0.123611	0.279544	0.226156	0.33753	0.236899
nan	0.452555	0.173156	0.307602	0.570299	0.323589	0.185048
0.863014	0.552433	0.247182	0.653643	0.762503	0.508948	0.210481
nan	nan	0.177924	0.610493	0.662728	0.424942	0.0633984
nan	nan	0.146095	0.636364	0.687876	0.540454	0.288224
nan	0.626588	0.25603	0.553184	0.47191	0.496461	0.31424
nan	0.680556	0.248653	0.42195	0.496633	0.45339	0.251142
nan	0.518182	0.252405	0.513269	0.319207	0.413171	0.125364
