# linear	RBF	ST	SST	PT	recursive	tree echo state
1.44563	1.49377	2.79269	2.90061	3.84601	1.35773	1.66349
1.45929	2.81005	2.83447	1.06024	1.06024	3.26405	4.4326
1.53566	1.45518	0.574477	1.99124	1.99124	1.96195	2.28198
1.35299	1.30681	7.02019	1.55066	1.40869	1.56168	1.71665
2.80443	1.60153	2.98118	1.40893	1.40893	1.59512	2.43348
1.11389	1.41279	0.940953	1.49646	1.20963	2.17386	2.89832
1.39566	1.74794	2.35881	1.37527	1.01692	1.68354	2.24363
1.28775	1.2606	4.58062	1.58559	1.58559	1.3665	1.5093
